accuracy,loss
0,0.6531774476251967
0,0.4984089075541887
0,0.4583774741718678
0,0.5334233464764767
0,0.4554519386402245
0,0.33097649161281484
0,0.46526735812588466
0,0.566298983233874
0,0.4203684796726769
0,0.562020435685017
0,0.42298539661970297
0,0.48254983314399513
0,0.40055616375852804
0,0.30202341387506393
0,0.3679738266383364
0,0.24566887650496322
0,0.4814608210422954
0,0.5138557667940692
0,0.4762215786292905
0,0.20308973757458515
0,0.32458526000299087
0,0.5008565214488024
0,0.4160075378548252
0,0.3899568188223031
0,0.31354021945449173
0,0.5664231628342404
0,0.46530907009142997
0,0.3466640783626525
0,0.32578209635338495
0,0.4123466521664395
0,0.43724741593736116
0,0.38869624409844966
0,0.37315887434235034
0,0.3933014105577938
0,0.39118557119630076
0,0.21104102719351242
0,0.4593360324374965
0,0.28165778274256026
0,0.26635738773261264
0,0.40055226686873724
0,0.3068462718135672
0,0.39416270712034296
0,0.3443263507280193
0,0.5849083752905736
0,0.42902950247128807
0,0.5482368061125604
0,0.46690468131844465
0,0.4173058055137676
0,0.42436842460775637
0,0.45796413558428406
