accuracy,precision,recall,f1,mcc
0.8560344827586207,0.8993150544889488,0.8560344827586206,0.8284964752965049,0
0.8637931034482759,0.9022199882717601,0.8637931034482758,0.8399628247161146,0
1.0,1.0,1.0,1.0,0
0.8689655172413793,0.9208333333333334,0.8689655172413794,0.8532134532134531,0
0.9793103448275862,0.98125,0.9793103448275862,0.9792548435171385,0
0.996551724137931,0.9966101694915255,0.9965517241379309,0.9965514678558158,0
1.0,1.0,1.0,1.0,0
0.9629310344827586,0.9661447470817122,0.9629310344827587,0.9618786180125142,0
0.8612068965517241,0.89173247538097,0.8612068965517242,0.8329857679945187,0
1.0,1.0,1.0,1.0,0
0.8439655172413794,0.8965340942869033,0.8439655172413794,0.8101878970824694,0
0.9775862068965517,0.9789333333333333,0.9775862068965517,0.9772691437047542,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
0.9991379310344828,0.9991416309012875,0.9991379310344828,0.9991379270303538,0
0.9724137931034482,0.9757575757575758,0.9724137931034482,0.9722819593787335,0
0.9974137931034482,0.9974468085106383,0.9974137931034482,0.9974136849879465,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
0.9922413793103448,0.9924749642346209,0.9922413793103448,0.9922240180085996,0
1.0,1.0,1.0,1.0,0
0.996551724137931,0.9966101694915255,0.9965517241379309,0.9965514678558158,0
0.9905172413793103,0.9908771680913702,0.9905172413793103,0.9904939710491375,0
0.9991379310344828,0.9991416309012875,0.9991379310344828,0.9991379270303538,0
0.9922413793103448,0.9924047917039156,0.9922413793103448,0.9922059679807184,0
1.0,1.0,1.0,1.0,0
0.993103448275862,0.9933333333333334,0.993103448275862,0.9931013975617009,0
0.9991379310344828,0.9991416309012877,0.9991379310344828,0.9991379270303536,0
0.9974137931034482,0.9974468085106384,0.9974137931034482,0.9974136849879465,0
0.9991379310344828,0.9991416309012877,0.9991379310344828,0.9991379270303536,0
0.8991379310344828,0.9311029231147139,0.8991379310344827,0.8916873288706132,0
0.8827586206896552,0.9143773431500971,0.8827586206896552,0.8677344392877128,0
0.993103448275862,0.9933333333333334,0.993103448275862,0.9931013975617009,0
0.9939655172413793,0.994142259414226,0.9939655172413794,0.9939641435188411,0
1.0,1.0,1.0,1.0,0
0.9948275862068966,0.9949579831932773,0.9948275862068965,0.9948267211743937,0
1.0,1.0,1.0,1.0,0
0.9939655172413793,0.9940996140945648,0.9939655172413794,0.9939532436533408,0
0.9974137931034482,0.9974468085106384,0.9974137931034482,0.9974136849879465,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
0.8767241379310344,0.9115919902644098,0.8767241379310345,0.8595895668848786,0
1.0,1.0,1.0,1.0,0
