accuracy,precision,recall,f1,mcc
0.44361702127659575,0.6123326959847036,0.44361702127659575,0.37323861227640576,0
1.0,1.0,1.0,1.0,0
0.475531914893617,0.6191683569979716,0.475531914893617,0.3985375642254837,0
1.0,1.0,1.0,1.0,0
0.4765957446808511,0.619410569105691,0.4765957446808511,0.39934632295146394,0
1.0,1.0,1.0,1.0,0
0.4765957446808511,0.619410569105691,0.4765957446808511,0.39934632295146394,0
1.0,1.0,1.0,1.0,0
0.47127659574468084,0.6182092555331992,0.47127659574468084,0.395282105367033,0
1.0,1.0,1.0,1.0,0
0.4521276595744681,0.6140776699029127,0.4521276595744681,0.38019607843137254,0
1.0,1.0,1.0,1.0,0
0.46170212765957447,0.6161067193675889,0.46170212765957447,0.3878321734858238,0
0.75,0.875,0.75,0.6666666666666666,0
0.7127659574468085,0.8663366336633663,0.7127659574468085,0.6386688412550482,0
0.75,0.875,0.75,0.6666666666666666,0
0.7361702127659574,0.8716356107660456,0.7361702127659575,0.6565374276954584,0
0.75,0.875,0.75,0.6666666666666666,0
0.7489361702127659,0.8747346072186837,0.7489361702127659,0.6658975458603381,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.747872340425532,0.8744703389830508,0.7478723404255319,0.6651268148792902,0
0.75,0.875,0.75,0.6666666666666666,0
0.7425531914893617,0.8731656184486374,0.7425531914893617,0.6612483922634503,0
0.75,0.875,0.75,0.6666666666666666,0
0.7436170212765958,0.8734243697478992,0.7436170212765958,0.6620274382850768,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.7436170212765958,0.8734243697478992,0.7436170212765958,0.6620274382850768,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
0.75,0.875,0.75,0.6666666666666666,0
