accuracy,loss
0.9333333333333333,0.16101370776693028
1.0,0.058529215903642275
1.0,0.056363340746611354
1.0,0.027040863978133226
1.0,0.011215430008693754
0.9333333333333333,0.02394296107813716
1.0,0.015991065211225456
1.0,0.01899765560956439
1.0,0.013167023434652947
1.0,0.014895703757429147
1.0,0.010513691360635373
1.0,0.007019264827249572
0.9333333333333333,0.015742591013743854
1.0,0.01288689842470679
1.0,0.004745367631342864
1.0,0.006894547462191743
1.0,0.009802398180424159
1.0,0.01160494397954608
1.0,0.01247618658853753
1.0,0.0043786111158018075
1.0,0.0032145854055973663
1.0,0.004217750258248998
1.0,0.005790413506232047
1.0,0.006243524422461633
1.0,0.007729609198577236
1.0,0.0028153660852694882
1.0,0.0034415363229224265
1.0,0.0051708458234012745
1.0,0.0029959742623759666
1.0,0.0040078522371914
1.0,0.0025208027930906005
1.0,0.00448038258497642
1.0,0.0033197962994260402
1.0,0.003801996261245222
1.0,0.0023902756869271496
1.0,0.005804732784357233
1.0,0.006017198687974693
1.0,0.0024624769794172607
1.0,0.0036990097407397114
1.0,0.005734701327370809
1.0,0.0035329327576619106
1.0,0.0024961572013732316
1.0,0.0025805074272284402
1.0,0.011544190199735264
1.0,0.0048390363282427035
1.0,0.004391214426383764
1.0,0.0024859766203007895
1.0,0.0020517120226334856
1.0,0.002393274001102933
1.0,0.0024934486305331423
