accuracy,precision,recall,f1,mcc
0.21120689655172414,0.5,0.6056034482758621,0.17437722419928825,0
0.9353448275862069,0.5,0.9676724137931034,0.4832962138084632,0
0.728448275862069,0.5,0.8642241379310345,0.42144638403990026,0
0.8879310344827587,0.3333333333333333,0.9626436781609197,0.31354642313546427,0
0.8879310344827587,0.3333333333333333,0.9626436781609197,0.31354642313546427,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
0.6637931034482759,0.5,0.8318965517241379,0.3989637305699482,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
0.6637931034482759,0.5,0.8318965517241379,0.3989637305699482,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
0.896551724137931,0.5,0.9482758620689655,0.4727272727272727,0
0.9827586206896551,0.3333333333333333,0.9942528735632185,0.33043478260869563,0
0.9956896551724138,0.5,0.9978448275862069,0.4989200863930886,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
0.9956896551724138,0.5,0.9978448275862069,0.4989200863930886,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
1.0,1.0,1.0,1.0,0
0.9827586206896551,0.3333333333333333,0.9942528735632185,0.33043478260869563,0
0.9094827586206896,0.5,0.9547413793103448,0.4762979683972912,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
0.9956896551724138,0.5,0.9978448275862069,0.4989200863930886,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
0.9956896551724138,0.5,0.9978448275862069,0.4989200863930886,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
1.0,1.0,1.0,1.0,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
1.0,1.0,1.0,1.0,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
1.0,1.0,1.0,1.0,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
0.9956896551724138,0.5,0.9978448275862069,0.4989200863930886,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
1.0,1.0,1.0,1.0,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
1.0,1.0,1.0,1.0,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
1.0,1.0,1.0,1.0,0
0.9870689655172413,0.5,0.9935344827586207,0.4967462039045553,0
1.0,1.0,1.0,1.0,0
0.9956896551724138,0.5,0.9978448275862069,0.4989200863930886,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,0
0.9956896551724138,0.5,0.9978448275862069,0.4989200863930886,0
