loss_train,loss_test,acc_train,acc_test
2.3049644746780396,2.3026691579818728,0.09908,0.1
2.29716490650177,2.1691165733337403,0.1024,0.21
1.9572390828132629,1.8127549815177917,0.28246,0.3332
1.7452212448120117,1.6530512499809265,0.3651,0.3952
1.6228412237167358,1.563809449672699,0.4092,0.4338
1.5486685662269593,1.510322322845459,0.4363,0.4473
1.4974740171432495,1.475828034877777,0.45582,0.4559
1.4589362912178039,1.4511842441558838,0.47394,0.4704
1.430013125896454,1.4243092966079711,0.48344,0.4815
1.4032944588661194,1.3834845495224,0.49482,0.4946
1.3808419270515442,1.37837589263916,0.5011,0.5004
1.3537223629951478,1.3943963980674743,0.51374,0.4997
1.3350277767181395,1.3278222966194153,0.52066,0.5203
1.3147312622070313,1.3312823343276978,0.52942,0.5181
1.2988139729499817,1.2945368576049805,0.5337,0.5372
1.277860984325409,1.2908064699172974,0.54208,0.54
1.2707662968635558,1.2737404441833495,0.5477,0.5425
1.2514120469093322,1.2683823323249817,0.55022,0.5432
1.236598690032959,1.2552033591270446,0.55836,0.5462
1.2235155653953553,1.2552230834960938,0.56286,0.5549
1.2092411665916443,1.2431206846237182,0.56912,0.5558
1.19775302028656,1.2200846219062804,0.5736,0.5646
1.179212191581726,1.2307501435279846,0.58044,0.5601
1.1682187209129333,1.203197124004364,0.58458,0.5729
1.1542030553817748,1.2229975414276124,0.59088,0.5622
1.1425764987468718,1.1975570702552796,0.59486,0.5773
1.1367781403064727,1.192433977127075,0.59678,0.5724
1.1230965087413787,1.1907462882995605,0.60232,0.5758
1.1075841624736786,1.187900755405426,0.60846,0.5742
1.0996247136592865,1.1592859792709351,0.61078,0.5862
1.0907686374187469,1.1685177421569823,0.61244,0.5832
1.075581071138382,1.1515480434894563,0.61926,0.587
1.0652729313373566,1.140491030216217,0.62164,0.5904
1.056330204486847,1.1340731167793274,0.62636,0.5979
1.0471775887012482,1.1436778008937836,0.6293,0.5903
1.0436641623973846,1.1318276405334473,0.63142,0.5914
1.0351934943199157,1.1336631679534912,0.63586,0.5915
1.0270888774394988,1.1127877426147461,0.6381,0.6048
1.0160503613948821,1.1069676458835602,0.64106,0.6039
1.009505925655365,1.1131629133224488,0.64356,0.6016
1.003179013967514,1.11717360496521,0.64608,0.5991
0.9943740062713623,1.1057275128364563,0.64802,0.6076
0.9845538165569305,1.1499651217460631,0.65412,0.5919
0.979348251581192,1.116280618906021,0.65458,0.6005
0.9743233323097229,1.0936887431144715,0.65538,0.6145
0.9663634519577027,1.0860247814655304,0.65716,0.6155
0.9602083497047424,1.0949904358386993,0.6645,0.6143
0.9530430560112,1.0891283571720123,0.6645,0.6153
0.9473887541294098,1.1164492857456207,0.66546,0.6099
0.9409192299842835,1.0942991256713868,0.66786,0.6136
