train_loss,val_loss,val_acc_
0.47308534600195945,0.00709157280304377,1.0
0.008396905781239526,0.0035381685138418106,1.0
0.001428308864392612,0.0009448752560577608,1.0
0.001263193379253548,0.0004693991552737013,1.0
0.0011409267035696036,0.00032858350105868794,1.0
0.0012210052092213868,0.0003443416425881196,1.0
0.0008826786836562999,0.00037595975187324865,1.0
0.0006050345210392489,0.0004896441596476583,1.0
0.0006437043478409213,0.0003500907194151637,1.0
0.0009325977633958985,0.005230833800397979,1.0
0.068174449927219,0.014658295965849296,1.0
0.005291627326085003,0.002503259332589399,1.0
0.002513076805611211,0.0018911963574434292,1.0
0.0017367850736230116,0.002880230164474066,1.0
0.0009326525157215184,0.0009947061815912168,1.0
0.0008733555842216972,0.0015434199339476133,1.0
0.0009351388645215658,0.0014233513178349237,1.0
0.0017607784252492008,0.0012262598162351424,1.0
0.0014514259466047801,0.0016473784430672822,1.0
0.0008085457225130867,0.00024351001815148265,1.0
0.05336272564776004,0.00432818649217855,1.0
0.003529325939131195,0.002896018580443638,1.0
0.0023318471641100105,0.002060351165792914,1.0
0.0007705715643571048,0.0010779918573771141,1.0
0.0006883480025466129,0.0005456518062304146,1.0
0.0012623528718224682,0.00029665278212102447,1.0
0.001033487657299757,0.0009820652986363143,1.0
0.0006834309712202818,0.000534818948073242,1.0
0.0010263695427748002,0.004008842121701643,1.0
0.0009032934852162454,0.0015943470472545111,1.0
0.09307432736741326,0.02170491284008828,1.0
0.007804762533664159,0.005200040926612341,1.0
0.0029866122104975335,0.004909115375508459,1.0
0.004080170496821624,0.001349729706147329,1.0
0.004207171374975193,0.005204592081402855,1.0
0.005837945002703846,0.0022637268901313234,1.0
0.0010782983161504317,0.002703811034746669,1.0
0.0006337854459658275,0.0031656318460176656,1.0
0.0006131393167527968,0.002104825908347152,1.0
0.000623370389920456,0.002183760682138806,1.0
0.030749717515072245,0.014999855744394589,1.0
0.007317743986748798,0.0024515464520670585,1.0
0.0010188856216370573,0.0008282909624763116,1.0
0.0006668641376137548,0.0013641239171586033,1.0
0.0011959174377684306,0.0006937613000523868,1.0
0.000422466899571611,0.0011164802753521978,1.0
0.0007092754616055847,0.000135743012838437,1.0
0.0008098772961652288,0.0017796959671490715,1.0
0.0006257060166794954,0.0016810372441734926,1.0
0.00046185080499940744,0.0014004037252952628,1.0
0.051393810789743234,0.008298221796328184,1.0
