loss_train,loss_test,acc_train,acc_test
2.3027593002319335,2.2431221294403074,0.10198,0.1
1.9779545512199401,1.8483037853240967,0.2625,0.3336
1.7891514463424683,1.7135485339164733,0.3547,0.3804
1.6783015780448913,1.6348622584342956,0.3936,0.4066
1.5994423656463623,1.5537915015220642,0.42044,0.4386
1.5379349584579467,1.5248994469642638,0.44288,0.4469
1.4928347144126892,1.4700995802879333,0.4618,0.4698
1.4532158098220824,1.436917679309845,0.47644,0.4841
1.4200740823745728,1.397976677417755,0.48994,0.4968
1.388786382675171,1.3837266445159913,0.50234,0.4998
1.3655549325942993,1.3916110467910767,0.51102,0.5038
1.3420832223892212,1.3500286388397216,0.51762,0.5158
1.3164513583183288,1.3428192520141602,0.52836,0.5175
1.3040673484802245,1.320561213493347,0.53044,0.5227
1.2838821458816527,1.316988275051117,0.5398,0.5292
1.2675117340087891,1.3116988396644593,0.54552,0.5309
1.2527682671546936,1.2856876015663148,0.55164,0.5396
1.239800184726715,1.2950821447372436,0.556,0.5365
1.2274746556282043,1.279230694770813,0.56118,0.5404
1.214245325565338,1.2674686002731324,0.56538,0.5461
1.2013809723854065,1.277069342136383,0.5683,0.5362
1.1917569081783295,1.2630402207374574,0.5748,0.5524
1.1811041121482848,1.2456181025505066,0.57714,0.551
1.170048660993576,1.2590999603271484,0.5842,0.547
1.1585538909435271,1.241988515853882,0.58672,0.5563
1.152969033718109,1.2646516823768617,0.58868,0.5518
1.141933469772339,1.2185149121284484,0.59398,0.5633
1.1309141283035278,1.221716811656952,0.5973,0.5608
1.1266162407398224,1.2320167517662048,0.59866,0.5587
1.1161690576076508,1.2202997159957887,0.60144,0.5606
1.1078380253314972,1.1943144750595094,0.6047,0.5724
1.1043704292774201,1.2031774091720582,0.60716,0.5684
1.092119835615158,1.2047891879081727,0.61168,0.5676
1.0880110511779786,1.1921591830253602,0.614,0.5729
1.0796946470737456,1.210288634300232,0.61636,0.5674
1.0716050102710724,1.21523118019104,0.61968,0.5611
1.0650976476669312,1.1925778341293336,0.61974,0.5728
1.0587842984199525,1.185424461364746,0.62278,0.5779
1.0537657845020294,1.1762860894203186,0.62518,0.5777
1.051417944908142,1.2005831789970398,0.62566,0.5705
1.0404285600185395,1.1798655700683593,0.6317,0.5767
1.0354563994407653,1.1814279460906982,0.63308,0.5769
1.0288653004169463,1.2017384696006774,0.63462,0.5686
1.0244079971313476,1.192845525741577,0.63722,0.5743
1.0180090835094453,1.1873795318603515,0.6383,0.5751
1.0152416298389435,1.2082975459098817,0.64078,0.5701
1.0100790333747864,1.187467827796936,0.64266,0.5786
0.9993123438358307,1.1853087973594665,0.64568,0.58
0.9973005683422088,1.2047399020195007,0.64786,0.5724
0.9988642618656158,1.176934142112732,0.64718,0.5837
