accuracy,loss
1.0,0.026014507484311857
1.0,0.030116948740214866
0.9333333333333333,0.032124806779514375
1.0,0.06510722546954639
0.8666666666666667,0.17016034523646037
1.0,0.0032240340517698013
1.0,0.0020400021465320608
1.0,0.02070416449108355
1.0,0.02342466918247131
1.0,0.05895084866084896
0.9333333333333333,0.049209799896925685
0.9333333333333333,0.019644087869285915
1.0,0.005538707519008312
1.0,0.0032101991320814703
0.9333333333333333,0.009958870474171514
1.0,0.006067676544262213
1.0,0.0023694061531690145
1.0,0.010351352605115001
1.0,0.00554052071923555
1.0,0.01691458689335074
1.0,0.0016214378678948075
0.9333333333333333,0.046688663172305196
1.0,0.003806722032944284
1.0,0.0032328612491255627
1.0,0.0007166685109041282
1.0,0.001040297933347271
1.0,0.0006867424433342725
1.0,0.0004129079588286307
1.0,0.0008711284438807828
1.0,0.0026700619526309312
1.0,0.001012125777924666
1.0,0.0053236930512260494
1.0,0.0007112404837243957
1.0,0.0014115247618974535
1.0,0.0009065892141128036
1.0,0.01522610947886278
1.0,0.004046027137277027
1.0,0.02632933720518243
1.0,0.015474594080175545
1.0,0.002789246659206886
1.0,0.001081982775698028
1.0,0.0035617050375246133
1.0,0.006524246334083728
1.0,0.0011182044819482448
1.0,0.0009235283578163944
1.0,0.0010262081726978068
1.0,0.0008169125035540977
1.0,0.0004831186622444269
1.0,0.014344846957950115
1.0,0.000654996547200426
